Date,Close
01-01-2024,248.4199981689453
01-02-2024,238.4499969482422
01-03-2024,237.92999267578125
01-04-2024,237.4900054931641
01-07-2024,240.4499969482422
01-08-2024,234.9600067138672
01-09-2024,233.94000244140625
01-10-2024,227.22000122070312
01-11-2024,218.88999938964844
01-15-2024,219.91000366210935
01-16-2024,215.5500030517578
01-17-2024,211.8800048828125
01-18-2024,212.19000244140625
01-21-2024,208.8000030517578
01-22-2024,209.13999938964844
01-23-2024,207.8300018310547
01-24-2024,182.6300048828125
01-25-2024,183.25
01-28-2024,190.92999267578125
01-29-2024,191.58999633789065
01-30-2024,187.2899932861328
01-31-2024,188.8600006103516
02-01-2024,187.91000366210935
02-04-2024,181.05999755859372
02-05-2024,185.1000061035156
02-06-2024,187.5800018310547
02-07-2024,189.55999755859372
02-08-2024,193.57000732421875
02-11-2024,188.1300048828125
02-12-2024,184.0200042724609
02-13-2024,188.7100067138672
02-14-2024,200.4499969482422
02-15-2024,199.9499969482422
02-19-2024,193.75999450683597
02-20-2024,194.7700042724609
02-21-2024,197.41000366210935
02-22-2024,191.97000122070312
02-25-2024,199.3999938964844
02-26-2024,199.72999572753903
02-27-2024,202.0399932861328
02-28-2024,201.8800048828125
02-29-2024,202.63999938964844
03-03-2024,188.13999938964844
03-04-2024,180.7400054931641
03-05-2024,176.5399932861328
03-06-2024,178.64999389648438
03-07-2024,175.33999633789062
03-10-2024,177.77000427246094
03-11-2024,177.5399932861328
03-12-2024,169.47999572753906
03-13-2024,162.5
03-14-2024,163.57000732421875
03-17-2024,173.8000030517578
03-18-2024,171.32000732421875
03-19-2024,175.66000366210938
03-20-2024,172.82000732421875
03-21-2024,170.8300018310547
03-24-2024,172.6300048828125
03-25-2024,177.6699981689453
03-26-2024,179.8300018310547
03-27-2024,175.7899932861328
03-31-2024,175.22000122070312
04-01-2024,166.6300048828125
04-02-2024,168.3800048828125
04-03-2024,171.11000061035156
04-04-2024,164.89999389648438
04-07-2024,172.97999572753906
04-08-2024,176.8800048828125
04-09-2024,171.75999450683594
04-10-2024,174.60000610351562
04-11-2024,171.0500030517578
04-14-2024,161.47999572753906
04-15-2024,157.11000061035156
04-16-2024,155.4499969482422
04-17-2024,149.92999267578125
04-18-2024,147.0500030517578
04-21-2024,142.0500030517578
04-22-2024,144.67999267578125
04-23-2024,162.1300048828125
04-24-2024,170.17999267578125
04-25-2024,168.2899932861328
04-28-2024,194.0500030517578
04-29-2024,183.27999877929688
04-30-2024,179.99000549316406
05-01-2024,180.00999450683594
05-02-2024,181.19000244140625
05-05-2024,184.75999450683597
05-06-2024,177.80999755859375
05-07-2024,174.72000122070312
05-08-2024,171.97000122070312
05-09-2024,168.47000122070312
05-12-2024,171.88999938964844
05-13-2024,177.5500030517578
05-14-2024,173.99000549316406
05-15-2024,174.83999633789062
05-16-2024,177.4600067138672
05-19-2024,174.9499969482422
05-20-2024,186.6000061035156
05-21-2024,180.11000061035156
05-22-2024,173.74000549316406
05-23-2024,179.24000549316406
05-27-2024,176.75
05-28-2024,176.19000244140625
05-29-2024,178.7899932861328
05-30-2024,178.0800018310547
06-02-2024,176.2899932861328
06-03-2024,174.77000427246094
06-04-2024,175.0
06-05-2024,177.94000244140625
06-06-2024,177.47999572753906
06-09-2024,173.7899932861328
06-10-2024,170.66000366210938
06-11-2024,177.2899932861328
06-12-2024,182.47000122070312
06-13-2024,178.00999450683594
06-16-2024,187.44000244140625
06-17-2024,184.8600006103516
06-19-2024,181.57000732421875
06-20-2024,183.00999450683597
06-23-2024,182.5800018310547
06-24-2024,187.3500061035156
06-25-2024,196.3699951171875
06-26-2024,197.4199981689453
06-27-2024,197.8800048828125
06-30-2024,209.8600006103516
07-01-2024,231.25999450683597
