Date,Close
01-03-2023,108.1
01-04-2023,113.64
01-05-2023,110.34
01-06-2023,113.06
01-09-2023,119.77
01-10-2023,118.85
01-11-2023,123.22
01-12-2023,123.56
01-13-2023,122.4
01-17-2023,131.49
01-18-2023,128.78
01-19-2023,127.17
01-20-2023,133.42
01-23-2023,143.75
01-24-2023,143.89
01-25-2023,144.43
01-26-2023,160.27
01-27-2023,177.9
01-30-2023,166.66
01-31-2023,173.22
02-01-2023,181.41
02-02-2023,188.27
02-03-2023,189.98
02-06-2023,194.76
02-07-2023,196.81
02-08-2023,201.29
02-09-2023,207.32
02-10-2023,196.89
02-13-2023,194.64
02-14-2023,209.25
02-15-2023,214.24
02-16-2023,202.04
02-17-2023,208.31
02-21-2023,197.37
02-22-2023,200.86
02-23-2023,202.07
02-24-2023,196.88
02-27-2023,207.63
02-28-2023,205.71
03-01-2023,202.77
03-02-2023,190.9
03-03-2023,197.79
03-06-2023,193.81
03-07-2023,187.71
03-08-2023,182.0
03-09-2023,172.92
03-10-2023,173.44
03-13-2023,174.48
03-14-2023,183.26
03-15-2023,180.45
03-16-2023,184.13
03-17-2023,180.13
03-20-2023,183.25
03-21-2023,197.58
03-22-2023,191.15
03-23-2023,192.22
03-24-2023,190.41
03-27-2023,191.81
03-28-2023,189.19
03-29-2023,193.88
03-30-2023,195.28
03-31-2023,207.46
04-03-2023,194.77
04-04-2023,192.58
04-05-2023,185.52
04-06-2023,185.06
04-10-2023,184.51
04-11-2023,186.79
04-12-2023,180.54
04-13-2023,185.9
04-14-2023,185.0
04-17-2023,187.04
04-18-2023,184.31
04-19-2023,180.59
04-20-2023,162.99
04-21-2023,165.08
04-24-2023,162.55
04-25-2023,160.67
04-26-2023,153.75
04-27-2023,160.19
04-28-2023,164.31
05-01-2023,161.83
05-02-2023,160.31
05-03-2023,160.61
05-04-2023,161.2
05-05-2023,170.06
05-08-2023,171.79
05-09-2023,169.15
05-10-2023,168.54
05-11-2023,172.08
05-12-2023,167.98
05-15-2023,166.35
05-16-2023,166.52
05-17-2023,173.86
05-18-2023,176.89
05-19-2023,180.14
05-22-2023,188.87
05-23-2023,185.77
05-24-2023,182.9
05-25-2023,184.47
05-26-2023,193.17
05-30-2023,201.16
05-31-2023,203.93
06-01-2023,207.52
06-02-2023,213.97
06-05-2023,217.61
06-06-2023,221.31
06-07-2023,224.57
06-08-2023,234.86
06-09-2023,244.4
06-12-2023,249.83
06-13-2023,258.71
06-14-2023,256.79
06-15-2023,255.9
06-16-2023,260.54
06-20-2023,274.45
06-21-2023,259.46
06-22-2023,264.61
06-23-2023,256.6
06-26-2023,241.05
06-27-2023,250.21
06-28-2023,256.24
06-29-2023,257.5
06-30-2023,261.77
07-03-2023,279.82
07-05-2023,282.48
07-06-2023,276.54
07-07-2023,274.43
07-10-2023,269.61
07-11-2023,269.79
07-12-2023,271.99
07-13-2023,277.9
07-14-2023,281.38
07-17-2023,290.38
07-18-2023,293.34
07-19-2023,291.26
07-20-2023,262.9
07-21-2023,260.02
07-24-2023,269.06
07-25-2023,265.28
07-26-2023,264.35
07-27-2023,255.71
07-28-2023,266.44
07-31-2023,267.43
08-01-2023,261.07
08-02-2023,254.11
08-03-2023,259.32
08-04-2023,253.86
08-07-2023,251.45
08-08-2023,249.7
08-09-2023,242.19
08-10-2023,245.34
08-11-2023,242.65
08-14-2023,239.76
08-15-2023,232.96
08-16-2023,225.6
08-17-2023,219.22
08-18-2023,215.49
08-21-2023,231.28
08-22-2023,233.19
08-23-2023,236.86
08-24-2023,230.04
08-25-2023,238.59
08-28-2023,238.82
08-29-2023,257.18
08-30-2023,256.9
08-31-2023,258.08
09-01-2023,245.01
09-05-2023,256.49
09-06-2023,251.92
09-07-2023,251.49
09-08-2023,248.5
09-11-2023,273.58
09-12-2023,267.48
09-13-2023,271.3
09-14-2023,276.04
09-15-2023,274.39
09-18-2023,265.28
09-19-2023,266.5
09-20-2023,262.59
09-21-2023,255.7
09-22-2023,244.88
09-25-2023,246.99
09-26-2023,244.12
09-27-2023,240.5
09-28-2023,246.38
09-29-2023,250.22
10-02-2023,251.6
10-03-2023,246.53
10-04-2023,261.16
10-05-2023,260.05
10-06-2023,260.53
10-09-2023,259.67
10-10-2023,263.62
10-11-2023,262.99
10-12-2023,258.87
10-13-2023,251.12
10-16-2023,253.92
10-17-2023,254.85
10-18-2023,242.68
10-19-2023,220.11
10-20-2023,211.99
10-23-2023,212.08
10-24-2023,216.52
10-25-2023,212.42
10-26-2023,205.76
10-27-2023,207.3
10-30-2023,197.36
10-31-2023,200.84
11-01-2023,205.66
11-02-2023,218.51
11-03-2023,219.96
11-06-2023,219.27
11-07-2023,222.18
11-08-2023,222.11
11-09-2023,209.98
11-10-2023,214.65
11-13-2023,223.71
11-14-2023,237.41
11-15-2023,242.84
11-16-2023,233.59
11-17-2023,234.3
11-20-2023,235.6
11-21-2023,241.2
11-22-2023,234.21
11-24-2023,235.45
11-27-2023,236.08
11-28-2023,246.72
11-29-2023,244.14
11-30-2023,240.08
12-01-2023,238.83
12-04-2023,235.58
12-05-2023,238.72
12-06-2023,239.37
12-07-2023,242.64
12-08-2023,243.84
12-11-2023,239.74
12-12-2023,237.01
12-13-2023,239.29
12-14-2023,251.05
12-15-2023,253.5
12-18-2023,252.08
12-19-2023,257.22
12-20-2023,247.14
12-21-2023,254.5
12-22-2023,252.54
12-26-2023,256.61
12-27-2023,261.44
12-28-2023,253.18
12-29-2023,248.48
01-02-2024,248.42
01-03-2024,238.45
01-04-2024,237.93
01-05-2024,237.49
01-08-2024,240.45
01-09-2024,234.96
01-10-2024,233.94
01-11-2024,227.22
01-12-2024,218.89
01-16-2024,219.91
01-17-2024,215.55
01-18-2024,211.88
01-19-2024,212.19
01-22-2024,208.8
01-23-2024,209.14
01-24-2024,207.83
01-25-2024,182.63
01-26-2024,183.25
01-29-2024,190.93
01-30-2024,191.59
01-31-2024,187.29
02-01-2024,188.86
02-02-2024,187.91
02-05-2024,181.06
02-06-2024,185.1
02-07-2024,187.58
02-08-2024,189.56
02-09-2024,193.57
02-12-2024,188.13
02-13-2024,184.02
02-14-2024,188.71
02-15-2024,200.45
02-16-2024,199.95
02-20-2024,193.76
02-21-2024,194.77
02-22-2024,197.41
02-23-2024,191.97
02-26-2024,199.4
02-27-2024,199.73
02-28-2024,202.04
02-29-2024,201.88
03-01-2024,202.64
03-04-2024,188.14
03-05-2024,180.74
03-06-2024,176.54
03-07-2024,178.65
03-08-2024,175.34
03-11-2024,177.77
03-12-2024,177.54
03-13-2024,169.48
03-14-2024,162.5
03-15-2024,163.57
03-18-2024,173.8
03-19-2024,171.32
03-20-2024,175.66
03-21-2024,172.82
03-22-2024,170.83
03-25-2024,172.63
03-26-2024,177.67
03-27-2024,179.83
03-28-2024,175.79
04-01-2024,175.22
04-02-2024,166.63
04-03-2024,168.38
04-04-2024,171.11
04-05-2024,164.9
04-08-2024,172.98
04-09-2024,176.88
04-10-2024,171.76
04-11-2024,174.6
04-12-2024,171.05
04-15-2024,161.48
04-16-2024,157.11
04-17-2024,155.45
04-18-2024,149.93
04-19-2024,147.05
04-22-2024,142.05
04-23-2024,144.68
04-24-2024,162.13
04-25-2024,170.18
04-26-2024,168.29
04-29-2024,194.05
04-30-2024,183.28
05-01-2024,179.99
05-02-2024,180.01
05-03-2024,181.19
05-06-2024,184.76
05-07-2024,177.81
05-08-2024,174.72
05-09-2024,171.97
05-10-2024,168.47
05-13-2024,171.89
05-14-2024,177.55
05-15-2024,173.99
05-16-2024,174.84
05-17-2024,177.46
05-20-2024,174.95
05-21-2024,186.6
05-22-2024,180.11
05-23-2024,173.74
05-24-2024,179.24
05-28-2024,176.75
05-29-2024,176.19
05-30-2024,178.79
05-31-2024,178.08
06-03-2024,176.29
06-04-2024,174.77
06-05-2024,175.0
06-06-2024,177.94
06-07-2024,177.48
06-10-2024,173.79
06-11-2024,170.66
06-12-2024,177.29
06-13-2024,182.47
06-14-2024,178.01
06-17-2024,187.44
06-18-2024,184.86
06-20-2024,181.57
06-21-2024,183.01
06-24-2024,182.58
06-25-2024,187.35
06-26-2024,196.37
06-27-2024,197.42
06-28-2024,197.88
07-01-2024,209.86
07-02-2024,231.26
07-03-2024,246.39
07-05-2024,251.52
07-08-2024,252.94
07-09-2024,262.33
07-10-2024,263.26
07-11-2024,241.03
07-12-2024,248.23
07-15-2024,252.64
07-16-2024,256.56
07-17-2024,248.5
07-18-2024,249.23
07-19-2024,239.2
07-22-2024,251.51
07-23-2024,246.38
07-24-2024,215.99
07-25-2024,220.25
07-26-2024,219.8
07-29-2024,232.1
07-30-2024,222.62
07-31-2024,232.07
08-01-2024,216.86
08-02-2024,207.67
08-05-2024,198.88
08-06-2024,200.64
08-07-2024,191.76
08-08-2024,198.84
08-09-2024,200.0
08-12-2024,197.49
08-13-2024,207.83
08-14-2024,201.38
08-15-2024,214.14
08-16-2024,216.12
08-19-2024,222.72
08-20-2024,221.1
08-21-2024,223.27
08-22-2024,210.66
08-23-2024,220.32
08-26-2024,213.21
08-27-2024,209.21
08-28-2024,205.75
08-29-2024,206.28
08-30-2024,214.11
09-03-2024,210.6
09-04-2024,219.41
09-05-2024,230.17
09-06-2024,210.73
09-09-2024,216.27
09-10-2024,226.17
09-11-2024,228.13
09-12-2024,229.81
09-13-2024,230.29
09-16-2024,226.78
09-17-2024,227.87
09-18-2024,227.2
09-19-2024,243.92
09-20-2024,238.25
09-23-2024,250.0
09-24-2024,254.27
09-25-2024,257.02
09-26-2024,254.22
09-27-2024,260.46
09-30-2024,261.63
10-01-2024,258.02
10-02-2024,249.02
10-03-2024,240.66
10-04-2024,250.08
10-07-2024,240.83
10-08-2024,244.5
10-09-2024,241.05
10-10-2024,238.77
10-11-2024,217.8
10-14-2024,219.16
10-15-2024,219.57
10-16-2024,221.33
10-17-2024,220.89
10-18-2024,220.7
10-21-2024,218.85
10-22-2024,217.97
10-23-2024,213.65
10-24-2024,260.48
10-25-2024,269.19
10-28-2024,262.51
10-29-2024,259.52
10-30-2024,257.55
10-31-2024,249.85
11-01-2024,248.98
11-04-2024,242.84
11-05-2024,251.44
11-06-2024,288.53
11-07-2024,296.91
11-08-2024,321.22
11-11-2024,350.0
11-12-2024,328.49
11-13-2024,330.24
11-14-2024,311.18
11-15-2024,320.72
11-18-2024,338.74
11-19-2024,346.0
11-20-2024,342.03
11-21-2024,339.64
11-22-2024,352.56
11-25-2024,338.59
11-26-2024,338.23
11-27-2024,332.89
11-29-2024,345.16
12-02-2024,357.09
12-03-2024,351.42
12-04-2024,357.93
12-05-2024,369.49
12-06-2024,389.22
12-09-2024,389.79
12-10-2024,400.99
12-11-2024,424.77
12-12-2024,418.1
12-13-2024,436.23
12-16-2024,463.02
12-17-2024,479.86
12-18-2024,440.13
12-19-2024,436.17
12-20-2024,421.06
12-23-2024,430.6
12-24-2024,462.28
12-26-2024,454.13
12-27-2024,431.66
12-30-2024,417.41
