closing_price,sentiment_score
248.4199982,-0.46666667
238.4499969,0.11666667
237.9299927,0
237.4900055,0.7
240.4499969,-0.46666667
234.9600067,-0.31818182
233.9400024,-0.7
227.2200012,0.1
218.8899994,-0.56
219.9100037,-0.175
215.5500031,-0.1
211.8800049,-0.42
212.1900024,-0.42
208.8000031,0
209.1399994,-0.05
207.8300018,0
182.6300049,-0.7
183.25,-0.42
190.9299927,-0.46666667
191.5899963,-0.7
187.2899933,-0.49
188.8600006,-0.552
187.9100037,-0.63
181.0599976,-0.6
185.1000061,-0.46666667
187.5800018,-0.525
189.5599976,-0.7
193.5700073,0
188.1300049,-0.23333333
184.0200043,-0.53333333
188.7100067,-0.63157895
200.4499969,-0.4375
199.9499969,-0.23333333
193.7599945,-0.44
194.7700043,-0.08888889
197.4100037,-0.7
191.9700012,-0.07777778
199.3999939,-0.3
199.7299957,-0.35
202.0399933,-0.22222222
201.8800049,-0.05
202.6399994,0.07777778
188.1399994,-0.46666667
180.7400055,-0.7
176.5399933,-1
178.6499939,-0.16666667
175.3399963,-1
177.7700043,-0.44
177.5399933,-0.65
169.4799957,-0.36363636
162.5,-0.2
163.5700073,-0.24444444
173.8000031,-0.3
171.3200073,-0.31818182
175.6600037,0.3
172.8200073,0.06363636
170.8300018,0
172.6300049,0
177.6699982,-0.7
179.8300018,-0.35
175.7899933,0.42
175.2200012,-0.3
166.6300049,-0.76666667
168.3800049,-0.61076923
171.1100006,-0.76666667
164.8999939,-0.37777778
172.9799957,-0.53333333
176.8800049,-0.7
171.7599945,-0.16666667
174.6000061,-0.525
171.0500031,-0.4
161.4799957,-0.525
157.1100006,-0.7375
155.4499969,-0.62631579
149.9299927,-0.54444444
147.0500031,-0.28
142.0500031,-0.59230769
144.6799927,-0.63157895
162.1300049,-0.72903226
170.1799927,-0.58823529
168.2899933,-0.38888889
194.0500031,-0.23333333
183.2799988,0.37777778
179.9900055,-0.80784314
180.0099945,-0.525
181.1900024,-0.70526316
184.7599945,-0.175
177.8099976,-0.7
174.7200012,-0.92631579
171.9700012,-0.58333333
168.4700012,-0.66666667
171.8899994,-0.14
177.5500031,0.23636364
173.9900055,-0.85
174.8399963,-0.86666667
177.4600067,-0.62222222
174.9499969,-0.08888889
186.6000061,-0.58333333
180.1100006,-0.35
173.7400055,-0.54444444
179.2400055,-0.57272727
176.75,-0.58
176.1900024,-0.7
178.7899933,-0.525
178.0800018,-0.65
176.2899933,-1
174.7700043,0
175,-1
177.9400024,-0.72
177.4799957,-0.31818182
173.7899933,-0.8
170.6600037,-0.35
177.2899933,-0.50909091
182.4700012,-0.83529412
178.0099945,-0.40833333
187.4400024,-0.7
184.8600006,-0.28888889
181.5700073,-0.8
183.0099945,-0.31818182
182.5800018,-0.825
187.3500061,0.7
196.3699951,-0.8
197.4199982,-0.7
197.8800049,-0.01818182
209.8600006,1
231.2599945,-0.46666667
246.3899994,0.13846154
251.5200043,0
252.9400024,-0.7
262.3299866,-0.12
263.2600098,0.1
241.0299988,0.35384615
248.2299957,-0.23333333
252.6399994,-0.35
256.5599976,-0.1
248.5,-0.225
249.2299957,-1
251.5099945,-0.23333333
246.3800049,-0.28
215.9900055,-0.7375
220.25,-0.79615385
219.8000031,-0.75294118
232.1000061,-0.7
222.6199951,0.1
232.0700073,-0.64666667
216.8600006,-0.825
207.6699982,-0.175
198.8800049,-1
200.6399994,-0.7
191.7599945,-0.53333333
198.8399963,0.1
200,-0.1
197.4900055,0.3
207.8300018,-0.68888889
201.3800049,-0.51333333
214.1399994,-0.87272727
216.1199951,-0.7
222.7200012,-0.14
221.1000061,-1
223.2700043,-0.28888889
210.6600037,-0.6
220.3200073,-0.73333333
213.2100067,0.06666667
209.2100067,0.06666667
205.75,-0.33333333
206.2799988,-0.21333333
214.1100006,-0.25
210.6000061,0
219.4100037,-0.12
230.1699982,-0.85
210.7299957,0.23333333
216.2700043,0.1
226.1699982,0.16
228.1300049,0.44
229.8099976,-0.42
230.2899933,-0.3
226.7799988,-1
227.8699951,-0.68888889
227.1999969,-0.14
243.9199982,-0.4
238.25,0.125
250,-0.8
254.2700043,-0.80606061
257.019989,-0.67272727
254.2200012,-0.35
260.4599915,-0.85
261.6300049,-0.9
258.019989,0.6
249.0200043,0.00833333
240.6600037,-0.58205128
250.0800018,-0.6825
240.8300018,-0.45833333
244.5,-0.50769231
241.0500031,-0.53333333
238.7700043,-0.85
217.8000031,-0.44
219.1600037,-0.36
219.5700073,-0.07017544
221.3300018,-0.08111888
220.8899994,-0.73333333
220.6999969,-0.74285714
218.8500061,-0.56
217.9700012,-0.60909091
213.6499939,-0.87142857
260.480011,-0.26923077
269.1900024,0.06428571
262.5100098,-0.48444444
259.519989,-0.38333333
257.5499878,-0.47368421
249.8500061,-0.36190476
248.9799957,-0.56428571
242.8399963,-0.74285714
251.4400024,-0.52888889
288.5299988,0.03333333
296.9100037,-0.215
321.2200012,0.375
350,0.14
328.4899902,-0.31666667
330.2399902,0.05333333
311.1799927,-0.55781818
320.7200012,-0.44558824
338.7399902,-0.2530303
346,-0.64571429
342.0299988,-0.32
339.6400146,0.11666667
352.5599976,-0.35490196
